MOUSE CODE,GENERAL CODE,STEP NUMBER,ETS,EIT,EPL,NTS,NIT,NPL
S2W2,SW2,2,10.03,5.8,11.23,9.37,5.68,12.8
S2W2,SW2,3,10.73,5.94,13.55,9.77,6.13,13.29
S3W2,SW2,4,10.1,7.23,10.4,10.42,6.76,12.74
S3W2,SW2,5,10.45,6.43,12.47,11,6.78,9.65
S3W2,SW2,6,9.47,6.84,9.1,10.15,6.46,9.59
S3W2,SW2,7,10.27,6.7,9.11,10.39,7.89,8.17
S3W2,SW2,8,11.84,7.35,11.2,9.19,3.89,10.35
S4W2,SW2,1,9.35,3.65,13.72,11.85,7.8,15.63
S4W2,SW2,2,8.17,3.99,15.15,11.17,6.43,14.87
S4W2,SW2,3,9.39,4.44,14.6,10.55,5.59,14.84
S4W2,SW2,4,8.55,5.43,13.95,10.38,5.82,15.57
S5W2,SW2,1,9.92,6.56,8.75,10.7,6.26,13.09
S5W2,SW2,2,9.21,5.42,8.34,9.15,6.53,9.96
S5W2,SW2,3,9.47,4.69,9.33,7.39,5.84,11.41
S5W2,SW2,4,10.85,7.17,9.94,9.79,6.44,12.03
S5W2,SW2,5,10.77,5.25,10.7,9.92,7.02,11.24
