MOUSE CODE,GENERAL CODE,TRIAL,R,T,D,H
C3W5,CW5,1,40.18,48,2.52,11.23
C3W5,CW5,2,40.18,44,2.21,11.07
C3W5,CW5,3,40.18,50,2.59,10.61
C4W5,CW5,1,40.18,35,1.64,10.17
C4W5,CW5,2,40.18,38,1.83,12.15
C4W5,CW5,3,33.66,17,0.47,9.19
C5W5,CW5,1,40.18,44,2.22,11.46
C5W5,CW5,2,40.18,32,1.47,12.1
C5W5,CW5,3,40.18,42,2.12,10.91
P1W5,PW5,1,29.42,15,0.36,8
P1W5,PW5,2,35.25,18,0.51,6.68
P1W5,PW5,3,29.65,15,0.36,14.74
P2W5,PW5,1,31.4,16,0.41,9.64
P2W5,PW5,2,39.75,20,0.65,8.81
P2W5,PW5,3,40.18,24,0.91,12.34
P3W5,PW5,1,40.18,38,1.84,10.36
P3W5,PW5,2,40.18,48,2.47,11.35
P3W5,PW5,3,40.18,31,1.39,13.08
P4W5,PW5,1,40.18,43,2.16,11.63
P4W5,PW5,2,40.18,53,2.83,11.11
P4W5,PW5,3,40.18,44,2.26,9.75
P5W5,PW5,1,40.18,28,1.16,8.62
P5W5,PW5,2,40.18,23,0.86,14.2
P5W5,PW5,3,40.18,25,0.97,10.4
N1W5,NW5,1,40.18,25,0.96,17.64
N1W5,NW5,2,40.18,33,1.51,17.49
N1W5,NW5,3,40.18,27,1.11,12.92
N2W5,NW5,1,40.18,28,1.17,16.62
N2W5,NW5,2,40.18,31,1.4,15.08
N2W5,NW5,3,40.18,36,1.73,13.65
N3W5,NW5,1,39.33,20,0.64,15.85
N3W5,NW5,2,40.18,21,0.73,12.93
N3W5,NW5,3,38.52,19,0.61,15.63
N4W5,NW5,1,33.97,17,0.48,10.33
N4W5,NW5,2,40.18,23,0.88,10.34
N4W5,NW5,3,40.18,21,0.72,17.9
N5W5,NW5,1,40.18,25,1.01,12.57
N5W5,NW5,2,40.18,29,1.26,16.37
N5W5,NW5,3,40.18,32,1.44,13.44
S1W5,SW5,1,40.18,66,3.68,13.38
S1W5,SW5,2,40.18,116,6.91,13.04
S1W5,SW5,3,40.18,64,3.57,15.23
S2W5,SW5,1,34.6,17,0.5,11.66
S2W5,SW5,2,40.18,21,0.71,10.48
S2W5,SW5,3,23.5,12,0.23,12.63
S3W5,SW5,1,40.18,44,2.23,15.08
S3W5,SW5,2,40.18,40,1.99,15.16
S3W5,SW5,3,40.18,33,1.54,12.76
S4W5,SW5,1,40.18,300,18.95,9
S4W5,SW5,2,40.18,300,18.95,10.52
S4W5,SW5,3,40.18,300,18.95,11.71
S5W5,SW5,1,39.75,20,0.66,12.67
S5W5,SW5,2,40.18,24,0.94,11.83
S5W5,SW5,3,34.28,17,0.49,12.99
C1W6,CW6,1,,,,
C1W6,CW6,2,,,,
C1W6,CW6,3,,,,
C2W6,CW6,1,,,,
C2W6,CW6,2,,,,
C2W6,CW6,3,,,,
C3W6,CW6,1,,,,
C3W6,CW6,2,,,,
C3W6,CW6,3,,,,
C4W6,CW6,1,,,,
C4W6,CW6,2,,,,
C4W6,CW6,3,,,,
C5W6,CW6,1,,,,
C5W6,CW6,2,,,,
C5W6,CW6,3,,,,
P1W6,PW6,1,,,,
P1W6,PW6,2,,,,
P1W6,PW6,3,,,,
P2W6,PW6,1,,,,
P2W6,PW6,2,,,,
P2W6,PW6,3,,,,
P3W6,PW6,1,,,,
P3W6,PW6,2,,,,
P3W6,PW6,3,,,,
P4W6,PW6,1,,,,
P4W6,PW6,2,,,,
P4W6,PW6,3,,,,
P5W6,PW6,1,,,,
P5W6,PW6,2,,,,
P5W6,PW6,3,,,,
N1W6,NW6,1,,,,
N1W6,NW6,2,,,,
N1W6,NW6,3,,,,
N2W6,NW6,1,,,,
N2W6,NW6,2,,,,
N2W6,NW6,3,,,,
N3W6,NW6,1,,,,
N3W6,NW6,2,,,,
N3W6,NW6,3,,,,
N4W6,NW6,1,,,,
N4W6,NW6,2,,,,
N4W6,NW6,3,,,,
N5W6,NW6,1,,,,
N5W6,NW6,2,,,,
N5W6,NW6,3,,,,
S1W6,SW6,1,,,,
S1W6,SW6,2,,,,
S1W6,SW6,3,,,,
S2W6,SW6,1,,,,
S2W6,SW6,2,,,,
S2W6,SW6,3,,,,
S3W6,SW6,1,,,,
S3W6,SW6,2,,,,
S3W6,SW6,3,,,,
S4W6,SW6,1,,,,
S4W6,SW6,2,,,,
S4W6,SW6,3,,,,
S5W6,SW6,1,,,,
S5W6,SW6,2,,,,
S5W6,SW6,3,,,,
